Framework,1,5,10,15,20,Cls,Lng,Plt,FE,Aos,DB,Dos,Orm,IA,Errors
play-scala-anorm,30731,7412,3806,2553,1909,Ful,Sca,Nty,Non,Lin,My,Lin,Ful,Rea,0
play-scala-mongodb,— Did not complete —,,,,,,Ful,Sca,Nty,Non,Lin,Mo,Lin,Raw,Rea
play-scala-anorm,11814,2430,1134,796,596,Ful,Sca,Nty,Non,Win,My,Lin,Ful,Rea,589
play-activate-mysql,45263,18812,10595,7421,5685,Ful,Sca,Nty,Non,Lin,My,Lin,Ful,Rea,0
play-java-jpa,62114,12226,6095,4056,3045,Ful,Jav,Nty,Non,Lin,My,Lin,Ful,Rea,0
pyramid-py3,9946,3355,1865,1284,974,Ful,Py,Wsg,Gun,Lin,Pg,Lin,Ful,Rea,30
pyramid-py2,11069,3757,2093,1475,1107,Ful,Py,Wsg,Gun,Lin,Pg,Lin,Ful,Rea,29
racket-ws,— Did not complete —,,,,,,Ful,Rac,Rac,Non,Lin,My,Lin,Mcr,Rea
rails-jruby,1229,982,705,559,464,Ful,Rby,JRb,Tor,Lin,My,Lin,Ful,Rea,0
rails-ruby,3757,1644,1016,737,580,Ful,Rby,Rac,Uni,Lin,My,Lin,Ful,Rea,0
rails-stripped-jruby,1281,1051,755,586,496,Ful,Rby,JRb,Tor,Lin,My,Lin,Ful,Str,0
rails-stripped-ruby,4621,1856,1106,794,618,Ful,Rby,Rac,Uni,Lin,My,Lin,Ful,Str,0
restexpress-mysql-ra,1650,1667,1638,1565,1551,Mcr,Jav,Nty,Non,Lin,My,Lin,Raw,Rea,8087
restexpress-mongodb,69540,15607,7967,5347,4026,Mcr,Jav,Nty,Non,Lin,Mo,Lin,Raw,Rea,0
revel,73133,18058,9239,6236,4704,Ful,Go,Go,Non,Lin,My,Lin,Raw,Rea,0
revel-qbs,70199,17007,8718,5862,4416,Ful,Go,Go,Non,Lin,My,Lin,Raw,Rea,0
ringojs-conv,45989,12821,6729,4558,3446,Mcr,JS,Rin,Jty,Lin,My,Lin,Mcr,Rea,0
ringojs,78332,24704,19605,12837,9809,Plt,JS,Rin,Jty,Lin,My,Lin,Raw,Rea,0
scalatra-raw,98337,38663,19904,13691,10286,Mcr,Sca,Svt,Res,Lin,My,Lin,Raw,Rea,0
senthot,— Did not complete —,,,,,,Mcr,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea
servicestack,— Did not complete —,,,,,,Plt,C#,Mon,XSP,Lin,Pg,Lin,Raw,Rea
servicestack,1791,1172,1505,1499,1382,Plt,C#,Mon,ngx,Lin,My,Lin,Raw,Rea,0
servicestack,— Did not complete —,,,,,,Plt,C#,Mon,ngx,Lin,Mo,Lin,Raw,Rea
servicestack,— Did not complete —,,,,,,Plt,C#,Mon,ngx,Lin,Pg,Lin,Raw,Rea
servicestack,— Did not complete —,,,,,,Plt,C#,Mon,XSP,Lin,Mo,Lin,Raw,Rea
