Framework,8,16,32,64,128,256,Best,Cls,Lng,Plt,FE,Aos,DB,Dos,Orm,IA,Errors
ringojs,5132,9753,13268,13604,14848,14980,14980,Plt,JS,Rin,Jty,Lin,My,Lin,Raw,Rea,0
senthot,— Did not complete —,,,,,,,Mcr,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,—
servicestack,— Did not complete —,,,,,,,Plt,C#,Mon,XSP,Lin,Pg,Lin,Raw,Rea,—
servicestack,— Did not complete —,,,,,,,Plt,C#,Mon,XSP,Lin,My,Lin,Raw,Rea,—
servicestack,— Did not complete —,,,,,,,Plt,C#,Mon,XSP,Lin,Mo,Lin,Raw,Rea,—
servicestack,— Did not complete —,,,,,,,Plt,C#,Mon,ngx,Lin,My,Lin,Raw,Rea,—
servicestack,— Did not complete —,,,,,,,Plt,C#,Mon,ngx,Lin,Mo,Lin,Raw,Rea,—
servicestack,— Did not complete —,,,,,,,Plt,C#,Mon,ngx,Lin,Pg,Lin,Raw,Rea,—
servlet-raw,26876,55334,102198,117448,159178,136421,159178,Plt,Jav,Svt,Res,Lin,My,Lin,Raw,Rea,0
silex,— Did not complete —,,,,,,,Mcr,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,—
spring,6513,9997,9970,9979,9953,9917,9997,Ful,Jav,Svt,Tom,Lin,My,Lin,Ful,Rea,0
start,8762,15325,22090,23233,25313,26248,26248,Mcr,Dar,Dar,ngx,Lin,Pg,Lin,Raw,Rea,0
start,— Did not complete —,,,,,,,Mcr,Dar,Dar,ngx,Lin,Mo,Lin,Raw,Rea,—
stream,8057,14195,20829,22192,24525,25610,25610,Mcr,Dar,Dar,ngx,Lin,Pg,Lin,Raw,Rea,0
stream,— Did not complete —,,,,,,,Mcr,Dar,Dar,ngx,Lin,Mo,Lin,Raw,Rea,—
symfony2-raw,546,584,528,517,481,467,584,Ful,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,8432
symfony2-php-templat,497,620,577,556,500,474,620,Ful,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,8783
symfony2,479,542,496,485,449,427,542,Ful,PHP,FPM,ngx,Lin,My,Lin,Ful,Str,7873
symfony2,475,544,501,487,449,427,544,Ful,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,7858
symfony2,563,634,576,558,513,486,634,Ful,PHP,FPM,ngx,Lin,My,Lin,Raw,Str,9107
symfony2,— Did not complete —,,,,,,,Ful,PHP,FPM,ngx,Lin,My,Lin,Ful,Str,—
treefrog-thread,200,401,802,1002,3003,6003,6003,Ful,C++,Tre,Non,Lin,My,Lin,Mcr,Rea,0
treefrog,2899,9068,21624,25570,40256,42743,42743,Ful,C++,Tre,Non,Lin,My,Lin,Mcr,Rea,0
undertow,31899,62327,87328,98349,109034,110277,110277,Plt,Jav,Utw,Non,Lin,Mo,Lin,Raw,Rea,0
undertow,27778,53972,85077,88530,107704,105731,107704,Plt,Jav,Utw,Non,Lin,My,Lin,Raw,Rea,0
undertow,27342,49386,78810,79695,93324,91981,93324,Plt,Jav,Utw,Non,Lin,Pg,Lin,Raw,Rea,0
undertow edge,26244,50247,76535,78393,95900,94324,95900,Plt,Jav,Und,Non,Lin,Pg,Lin,Raw,Rea,0
undertow edge,32505,62588,85839,94415,106642,107037,107037,Plt,Jav,Und,Non,Lin,Mo,Lin,Raw,Rea,0
undertow edge,28369,54248,82993,87142,106306,104056,106306,Plt,Jav,Und,Non,Lin,My,Lin,Raw,Rea,0
urweb-mysql,15893,27820,31529,20101,7362,7363,31529,Ful,Ur,Ur/,Non,Lin,My,Lin,Mcr,Rea,0
urweb-postgres,18075,32804,57495,68368,112712,112807,112807,Ful,Ur,Ur/,Non,Lin,Pg,Lin,Mcr,Rea,0
wicket,11017,20975,24892,24914,24382,23313,24914,Ful,Jav,Svt,Res,Lin,My,Lin,Ful,Rea,0
yaf-raw,11717,23184,39383,44249,58015,56216,58015,Ful,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,0
